GAME_DATE,OPPONENT,IS_HOME,MURRAY_OUT,WON_GAME,SEASON_AVG_REB,ROLL_3_REB,ROLL_5_REB,ROLL_10_REB,HEAD2HEAD_AVG_REB,OPP_REB,OPP_DEF_RATING,OPP_PACE,IS_HOME,DAYS_RESTED,WON_GAME,MURRAY_OUT,SEASON_AVG_REB_MURRAY_OUT,REB
2021-12-06,CHI,0,1,0,13.588235294117649,13.666666666666666,13.4,13.5,14.5,42.333333333333336,120.00793440888654,0.4201111111111111,0,2.0,0,1,11.707317073170731,12
2021-12-08,NOP,0,1,1,13.5,12.666666666666666,12.6,13.6,7.666666666666667,47.333333333333336,119.44646758922067,0.3813888888888889,0,2.0,1,1,11.714285714285714,11
2021-12-09,SAS,0,1,0,13.36842105263158,11.333333333333334,12.8,13.3,12.0,43.0,107.43091365860109,0.4201666666666666,0,1.0,0,1,11.69767441860465,13
2021-12-11,SAS,0,1,1,13.35,12.0,12.4,13.1,12.2,46.0,111.31725417439704,0.4192222222222222,0,2.0,1,1,11.727272727272728,17
2021-12-13,WAS,1,1,1,13.523809523809524,13.666666666666666,12.8,12.9,9.0,38.0,110.57757338022454,0.3969395973154362,1,2.0,1,1,11.844444444444443,19
2021-12-15,MIN,1,1,0,13.772727272727272,16.333333333333332,14.4,13.9,15.0,39.666666666666664,100.96630327056492,0.4484444444444444,1,2.0,0,1,12.0,10
2021-12-17,ATL,0,1,1,13.608695652173912,15.333333333333334,14.0,13.3,13.0,43.0,112.4112542729424,0.4225555555555555,0,2.0,1,1,11.95744680851064,10
2021-12-22,OKC,0,1,0,13.458333333333334,13.0,13.8,13.3,12.0,48.0,106.36865490776891,0.4126111111111111,0,5.0,0,1,11.916666666666666,7
2021-12-23,CHA,1,1,0,13.2,9.0,12.6,12.5,10.5,44.0,101.82275298554369,0.4419444444444445,1,1.0,0,1,11.816326530612244,21
2021-12-26,LAC,0,1,1,13.5,12.666666666666666,13.4,13.1,10.0,46.0,105.91860315830016,0.4327222222222222,0,3.0,1,1,12.0,22
2021-12-28,GSW,0,1,1,13.814814814814817,16.666666666666668,14.0,14.2,10.666666666666666,41.0,118.28998339789706,0.4015555555555555,0,2.0,1,1,12.196078431372548,19
2022-01-01,HOU,0,1,1,14.0,20.666666666666668,15.8,14.9,12.5,40.0,106.95876288659797,0.4311111111111111,0,4.0,1,1,12.326923076923077,11
2022-01-03,DAL,0,1,0,13.89655172413793,17.333333333333332,16.0,14.9,12.4,43.666666666666664,107.70001431229426,0.3881666666666666,0,2.0,0,1,12.30188679245283,16
2022-01-05,UTA,1,1,0,13.966666666666669,15.333333333333334,17.8,15.2,10.25,45.666666666666664,116.28677445003976,0.4192222222222222,1,2.0,0,1,12.37037037037037,21
2022-01-07,SAC,1,1,1,14.193548387096774,16.0,17.8,15.6,11.0,43.666666666666664,110.85063630274614,0.4147222222222222,1,2.0,1,1,12.527272727272727,10
2022-01-09,OKC,0,1,1,14.0625,15.666666666666666,15.4,14.7,10.75,46.0,93.9799331103679,0.4152777777777778,0,2.0,1,1,12.482142857142858,18
2022-01-11,LAC,0,1,0,14.181818181818182,16.333333333333332,15.2,15.5,13.0,45.666666666666664,110.26490066225166,0.4194444444444444,0,2.0,0,1,12.578947368421051,13
2022-01-13,POR,1,1,1,14.147058823529411,13.666666666666666,15.6,15.8,8.9,48.666666666666664,107.65064319566687,0.4102777777777778,1,2.0,1,1,12.586206896551724,8
2022-01-15,LAL,1,1,1,13.971428571428572,13.0,14.0,15.9,11.333333333333334,40.666666666666664,98.10509340142453,0.4133888888888889,1,2.0,1,1,12.508474576271189,12
2022-01-16,UTA,1,1,0,13.916666666666666,11.0,12.2,15.0,12.4,37.0,109.63409620391944,0.4053888888888888,1,1.0,0,1,12.5,15
2022-01-19,LAC,1,1,1,13.945945945945946,11.666666666666666,13.2,14.3,13.0,45.333333333333336,113.0364153242182,0.4103888888888888,1,3.0,1,1,12.540983606557376,14
2022-01-21,MEM,1,1,0,13.947368421052632,13.666666666666666,12.4,13.8,12.6,45.333333333333336,100.4675849867307,0.439611111111111,1,2.0,0,1,12.564516129032258,11
2022-01-23,DET,1,1,1,13.871794871794872,13.333333333333334,12.0,13.8,11.5,43.666666666666664,108.5481682496608,0.4094444444444444,1,2.0,1,1,12.53968253968254,9
2022-01-25,DET,0,1,1,13.75,11.333333333333334,12.2,13.1,10.666666666666666,38.333333333333336,116.71177266576456,0.4105555555555555,0,2.0,1,1,12.484375,21
2022-01-26,BKN,0,1,1,13.926829268292684,13.666666666666666,14.0,13.1,7.5,51.666666666666664,112.45674740484432,0.4174444444444444,0,1.0,1,1,12.615384615384617,10
2022-01-28,NOP,0,1,1,13.833333333333334,13.333333333333334,13.0,13.1,8.5,42.666666666666664,106.79751767931882,0.3849444444444445,0,2.0,1,1,12.575757575757576,13
