TEAM,level_1,PTS,REB,AST,FGA,FGM,FG_PCT,FG3A,FG3M,FG3_PCT,FTA,FTM,FT_PCT,OREB,TOV,MIN,DATE,DEF_RATING,PACE
New,1884,116.33333333333333,41.666666666666664,28.0,92.0,43.0,0.4666666666666668,30.666666666666668,11.333333333333334,0.35400000000000004,23.666666666666668,19.0,0.8003333333333335,14.0,11.666666666666666,240.0,"FEB 03, 2025",116.24034106048494,0.417
New,452,119.33333333333333,41.333333333333336,25.666666666666668,91.66666666666667,44.0,0.4790000000000001,29.666666666666668,10.666666666666666,0.34166666666666673,25.0,20.666666666666668,0.8300000000000001,14.333333333333334,10.666666666666666,240.0,"FEB 04, 2025",120.53872053872051,0.41250000000000003
New,1885,117.66666666666667,40.666666666666664,26.333333333333332,91.66666666666667,42.666666666666664,0.4646666666666668,30.666666666666668,12.0,0.37966666666666665,23.666666666666668,20.333333333333332,0.8583333333333334,13.666666666666666,10.666666666666666,240.0,"FEB 05, 2025",118.75925178307092,0.4128333333333334
New,453,114.66666666666667,37.0,22.666666666666668,90.0,41.666666666666664,0.46133333333333343,26.0,9.0,0.3466666666666667,26.0,22.333333333333332,0.8576666666666667,11.333333333333334,10.333333333333334,240.0,"FEB 08, 2025",114.16434355502457,0.4185
New,1886,113.66666666666667,35.666666666666664,23.0,88.66666666666667,40.333333333333336,0.4540000000000002,29.666666666666668,11.0,0.36966666666666664,26.666666666666668,22.0,0.8223333333333334,7.333333333333333,12.0,240.0,"FEB 08, 2025",108.18527918781726,0.4377777777777778
New,1887,107.66666666666667,37.0,20.666666666666668,85.0,38.0,0.44633333333333347,29.0,11.0,0.37800000000000006,27.333333333333332,20.666666666666668,0.7536666666666667,8.0,15.666666666666666,240.0,"FEB 10, 2025",102.84004075394805,0.43622222222222223
New,454,115.66666666666667,43.0,27.666666666666668,87.66666666666667,42.666666666666664,0.48500000000000015,30.0,11.333333333333334,0.37633333333333335,25.333333333333332,19.0,0.7563333333333334,10.0,17.333333333333332,240.0,"FEB 11, 2025",108.9687225222962,0.44227777777777777
New,455,126.0,43.0,28.0,89.0,46.333333333333336,0.5170000000000001,26.666666666666668,10.333333333333334,0.38766666666666666,29.333333333333332,23.0,0.7866666666666667,11.0,17.666666666666668,248.33333333333334,"FEB 12, 2025",116.0505956035859,0.4372080536912752
New,1888,129.33333333333334,42.333333333333336,31.0,93.0,49.0,0.5266666666666667,28.333333333333332,9.666666666666666,0.34766666666666673,26.0,21.666666666666668,0.8380000000000001,11.0,13.0,248.33333333333334,"FEB 12, 2025",121.50820493548792,0.4286174496644295
New,1889,133.33333333333334,41.333333333333336,29.333333333333332,93.33333333333333,48.0,0.5140000000000001,36.0,13.333333333333334,0.36433333333333334,29.666666666666668,24.0,0.8126666666666668,9.0,11.666666666666666,256.6666666666667,"FEB 13, 2025",122.2643354933366,0.4248831168831168
New,456,121.33333333333333,46.333333333333336,29.333333333333332,97.66666666666667,45.333333333333336,0.46600000000000014,42.666666666666664,14.333333333333334,0.3246666666666667,20.666666666666668,16.333333333333332,0.7756666666666666,9.666666666666666,9.666666666666666,256.6666666666667,"FEB 20, 2025",113.65055576370673,0.41594805194805196
New,457,119.33333333333333,43.666666666666664,28.333333333333332,96.0,44.666666666666664,0.46733333333333343,41.333333333333336,15.0,0.36033333333333334,20.666666666666668,15.0,0.7016666666666667,8.666666666666666,12.333333333333334,256.6666666666667,"FEB 21, 2025",109.72171141350987,0.4237402597402597
New,1890,107.0,46.333333333333336,26.0,96.0,42.0,0.43833333333333346,33.666666666666664,10.666666666666666,0.319,17.666666666666668,12.333333333333334,0.6903333333333334,11.0,13.666666666666666,248.33333333333334,"FEB 21, 2025",100.52611800075158,0.42861744966442955
New,458,104.33333333333333,41.666666666666664,23.666666666666668,91.0,40.0,0.4400000000000001,30.333333333333332,10.666666666666666,0.3473333333333333,18.0,13.666666666666666,0.7903333333333333,10.0,13.666666666666666,240.0,"FEB 23, 2025",101.70262542240705,0.42744444444444446
